symbol,yesterday_volume,volume_3_days,volume_5_days,volume_15_days,volume_30_days
VKTX,796503.0,897283.6666666666,889036.4,676407.4666666667,684882.2666666667
CMCO,100871.0,87748.66666666667,102202.6,85561.6,119085.1
EPRE,2.0,2.0,3.6,5.266666666666667,96.83333333333333
MH-C,3493.0,1944.3333333333333,3722.2,3032.3333333333335,2813.6
IRDM,778743.0,774653.3333333334,782021.0,623094.0666666667,581046.1
CN,1712.0,1040.0,1018.8,662.7333333333333,4533.433333333333
RGS,1101043.0,1239268.3333333333,1736624.4,1936603.4,2506905.1
SSPY,813.0,2597.3333333333335,2682.4,1294.6666666666667,2483.1
FLAX,995.0,2039.0,2228.0,1519.6666666666667,1560.2666666666667
AHI,10862559.0,6558961.0,11673949.6,6032813.090909091,6032813.090909091
VIOG,10783.0,10358.0,15240.0,15795.2,16287.133333333333
CELG.RT,56735.0,24795.666666666668,18793.0,52419.4,39648.4
SJW,158094.0,146778.0,139027.4,117791.2,112425.86666666667
TTEC,119767.0,149482.33333333334,161783.0,159936.4,138098.36666666667
ESMV,214.0,259.0,247.0,847.4285714285714,847.4285714285714
